workclass,education,marital_status,occupation,relationship,race,sex,income
Self-emp-not-inc,10th,Married-spouse-absent,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,<=50K
Private,Bachelors,Never-married,Sales,Own-child,White,Male,<=50K
Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,<=50K
Private,7th-8th,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
Private,10th,Divorced,Machine-op-inspct,Not-in-family,White,Male,<=50K
Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,<=50K
Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,<=50K
Self-emp-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,>50K
Private,HS-grad,Never-married,Protective-serv,Own-child,White,Male,<=50K
?,HS-grad,Divorced,?,Not-in-family,White,Female,<=50K
Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,<=50K
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Male,<=50K
Federal-gov,Masters,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50K
Private,Bachelors,Divorced,Other-service,Not-in-family,White,Female,<=50K
Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,<=50K
Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50K
Private,Masters,Divorced,Prof-specialty,Other-relative,Black,Male,<=50K
Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Male,<=50K
Private,Bachelors,Never-married,Adm-clerical,Unmarried,Black,Female,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,<=50K
Private,Some-college,Never-married,Craft-repair,Own-child,White,Female,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Private,11th,Never-married,Sales,Own-child,White,Female,<=50K
State-gov,Assoc-acdm,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
Private,1st-4th,Never-married,Other-service,Own-child,Other,Male,<=50K
Private,HS-grad,Widowed,Machine-op-inspct,Not-in-family,White,Female,<=50K
Private,Some-college,Never-married,Sales,Own-child,White,Female,<=50K
Private,HS-grad,Divorced,Sales,Not-in-family,White,Female,<=50K
Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,>50K
State-gov,Some-college,Never-married,Adm-clerical,Own-child,White,Female,<=50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Private,HS-grad,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Female,<=50K
Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Female,<=50K
Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,>50K
Private,Assoc-acdm,Never-married,Craft-repair,Unmarried,White,Male,<=50K
Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,>50K
Private,10th,Never-married,Craft-repair,Other-relative,White,Male,<=50K
Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,<=50K
?,Some-college,Never-married,?,Own-child,White,Male,<=50K
Private,5th-6th,Separated,Other-service,Unmarried,White,Female,<=50K
Local-gov,Bachelors,Divorced,Prof-specialty,Own-child,White,Female,<=50K
?,HS-grad,Married-civ-spouse,?,Husband,White,Male,<=50K
State-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,Black,Female,>50K
Self-emp-not-inc,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
State-gov,Doctorate,Divorced,Prof-specialty,Not-in-family,White,Female,>50K
Private,HS-grad,Divorced,Sales,Unmarried,White,Female,<=50K
Private,Some-college,Separated,Other-service,Unmarried,White,Female,<=50K
Private,Bachelors,Never-married,Other-service,Own-child,White,Male,<=50K
Local-gov,Some-college,Married-civ-spouse,Transport-moving,Husband,Black,Male,<=50K
State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Self-emp-inc,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,<=50K
Private,5th-6th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50K
Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,<=50K
Self-emp-inc,Assoc-acdm,Married-civ-spouse,Exec-managerial,Wife,White,Female,>50K
Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Local-gov,Assoc-acdm,Divorced,Protective-serv,Not-in-family,White,Male,<=50K
Local-gov,Some-college,Never-married,Adm-clerical,Own-child,White,Male,<=50K
Self-emp-not-inc,Bachelors,Never-married,Other-service,Not-in-family,Black,Female,<=50K
Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,>50K
?,10th,Separated,?,Not-in-family,White,Male,<=50K
Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Local-gov,HS-grad,Separated,Protective-serv,Not-in-family,Black,Male,<=50K
Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,<=50K
Private,11th,Never-married,Sales,Own-child,White,Male,<=50K
Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Private,HS-grad,Never-married,Sales,Own-child,White,Female,<=50K
Private,Some-college,Separated,Other-service,Unmarried,White,Female,<=50K
Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,<=50K
Private,Some-college,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,<=50K
Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,>50K
?,7th-8th,Widowed,?,Not-in-family,White,Female,<=50K
Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,<=50K
Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,<=50K
Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,<=50K
?,10th,Never-married,?,Other-relative,White,Female,<=50K
Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,>50K
Private,HS-grad,Separated,Transport-moving,Not-in-family,White,Male,<=50K
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Black,Male,>50K
Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,<=50K
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Private,Some-college,Divorced,Adm-clerical,Other-relative,White,Female,<=50K
Private,Some-college,Divorced,Sales,Not-in-family,White,Male,<=50K
Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,>50K
Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
Private,Bachelors,Never-married,Transport-moving,Not-in-family,White,Male,<=50K
Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Private,Assoc-acdm,Never-married,Priv-house-serv,Not-in-family,White,Female,<=50K
Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Female,<=50K
Private,Masters,Married-civ-spouse,Tech-support,Husband,White,Male,>50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,<=50K
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Private,Assoc-voc,Divorced,Adm-clerical,Unmarried,Black,Female,<=50K
Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,Other,Male,<=50K
Private,Assoc-voc,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50K
Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
?,HS-grad,Widowed,?,Not-in-family,White,Female,<=50K
Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,<=50K
Self-emp-not-inc,Some-college,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,<=50K
Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Private,HS-grad,Never-married,Other-service,Other-relative,Black,Female,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
Private,HS-grad,Never-married,Craft-repair,Other-relative,White,Male,<=50K
Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,<=50K
Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,>50K
Private,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,>50K
Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Private,Bachelors,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Male,<=50K
Private,11th,Never-married,Other-service,Other-relative,White,Male,<=50K
Local-gov,Assoc-voc,Separated,Prof-specialty,Unmarried,Black,Female,<=50K
Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Private,11th,Never-married,Craft-repair,Not-in-family,Black,Male,<=50K
Private,7th-8th,Divorced,Transport-moving,Unmarried,White,Male,<=50K
Private,HS-grad,Divorced,Sales,Unmarried,White,Female,<=50K
Local-gov,Assoc-voc,Married-civ-spouse,Protective-serv,Husband,White,Male,>50K
Private,HS-grad,Married-civ-spouse,Sales,Own-child,White,Female,>50K
State-gov,Doctorate,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50K
Private,Some-college,Never-married,Sales,Own-child,Black,Male,<=50K
Private,Masters,Never-married,Craft-repair,Not-in-family,White,Male,>50K
Private,Some-college,Divorced,Farming-fishing,Not-in-family,White,Female,<=50K
Private,HS-grad,Never-married,Other-service,Own-child,White,Female,<=50K
Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,<=50K
Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,<=50K
Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
Self-emp-inc,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,>50K
Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,<=50K
Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,<=50K
?,5th-6th,Married-civ-spouse,?,Husband,Other,Male,<=50K
Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Wife,Amer-Indian-Eskimo,Female,>50K
Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Private,Some-college,Married-spouse-absent,Other-service,Not-in-family,Black,Female,<=50K
Local-gov,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,<=50K
Private,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,>50K
Private,Some-college,Married-civ-spouse,Craft-repair,Other-relative,Asian-Pac-Islander,Male,<=50K
Private,HS-grad,Separated,Sales,Not-in-family,White,Female,<=50K
Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
?,Masters,Married-civ-spouse,?,Wife,White,Female,<=50K
Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,<=50K
Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
State-gov,Some-college,Divorced,Prof-specialty,Unmarried,White,Male,<=50K
Private,5th-6th,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,<=50K
Private,Some-college,Never-married,Sales,Own-child,White,Female,<=50K
Private,Bachelors,Never-married,Craft-repair,Own-child,White,Male,<=50K
Private,Masters,Married-civ-spouse,Tech-support,Husband,White,Male,>50K
Private,12th,Married-civ-spouse,Other-service,Husband,Black,Male,<=50K
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
Self-emp-not-inc,11th,Married-civ-spouse,Sales,Husband,White,Male,<=50K
Private,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,>50K
Private,10th,Divorced,Sales,Not-in-family,White,Female,<=50K
Private,Some-college,Divorced,Other-service,Not-in-family,White,Female,<=50K
Federal-gov,Some-college,Divorced,Transport-moving,Not-in-family,White,Male,<=50K
Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,<=50K
State-gov,Masters,Divorced,Protective-serv,Not-in-family,White,Male,<=50K
Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,<=50K
Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Female,>50K
?,HS-grad,Married-civ-spouse,?,Husband,White,Male,<=50K
Private,Assoc-voc,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Male,<=50K
Private,Some-college,Never-married,Sales,Not-in-family,Black,Male,<=50K
Private,HS-grad,Never-married,Other-service,Own-child,White,Female,<=50K
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Wife,White,Female,>50K
State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,<=50K
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,>50K
Private,7th-8th,Never-married,Craft-repair,Own-child,White,Male,<=50K
Private,9th,Married-civ-spouse,Exec-managerial,Wife,White,Female,<=50K
Local-gov,HS-grad,Divorced,Craft-repair,Not-in-family,Other,Male,>50K
Private,HS-grad,Separated,Handlers-cleaners,Unmarried,White,Male,<=50K
Private,1st-4th,Divorced,Other-service,Not-in-family,Black,Male,<=50K
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,>50K
Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,<=50K
Private,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Male,>50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,<=50K
Private,Some-college,Married-civ-spouse,Protective-serv,Husband,Black,Male,<=50K
Private,Some-college,Never-married,Sales,Not-in-family,White,Male,>50K
Private,Masters,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
Private,Some-college,Divorced,Adm-clerical,Own-child,White,Female,>50K
State-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,<=50K
Private,10th,Never-married,Other-service,Other-relative,White,Female,<=50K
Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,<=50K
Private,Masters,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,<=50K
?,Bachelors,Married-civ-spouse,?,Husband,White,Male,<=50K
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
Private,9th,Married-civ-spouse,Sales,Husband,White,Male,<=50K
Private,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Private,Bachelors,Divorced,Tech-support,Not-in-family,White,Female,<=50K
Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,<=50K
Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,>50K
State-gov,Some-college,Widowed,Adm-clerical,Not-in-family,White,Female,<=50K
?,Some-college,Married-civ-spouse,?,Husband,White,Male,<=50K
Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,>50K
Private,HS-grad,Never-married,Other-service,Own-child,White,Female,<=50K
Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,<=50K
Private,HS-grad,Never-married,Other-service,Own-child,White,Female,<=50K
Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,<=50K
Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,>50K
Private,Some-college,Divorced,Sales,Not-in-family,White,Female,<=50K
Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,>50K
Private,Bachelors,Never-married,Adm-clerical,Unmarried,White,Male,<=50K
Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,<=50K
Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,<=50K
Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Self-emp-not-inc,HS-grad,Divorced,Other-service,Unmarried,White,Female,<=50K
Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,<=50K
Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Federal-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50K
Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50K
State-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,>50K
Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
State-gov,Some-college,Never-married,Other-service,Own-child,White,Female,<=50K
Private,5th-6th,Never-married,Other-service,Not-in-family,White,Male,<=50K
Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,>50K
Self-emp-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
Private,Assoc-voc,Divorced,Machine-op-inspct,Not-in-family,White,Female,<=50K
?,Bachelors,Never-married,?,Own-child,Black,Female,<=50K
Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,<=50K
Private,Assoc-acdm,Never-married,Sales,Own-child,White,Female,<=50K
Private,HS-grad,Never-married,Adm-clerical,Other-relative,White,Female,<=50K
Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,<=50K
Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,<=50K
Private,HS-grad,Separated,Machine-op-inspct,Own-child,White,Male,<=50K
Private,Masters,Divorced,Transport-moving,Not-in-family,White,Male,>50K
Local-gov,Prof-school,Married-civ-spouse,Protective-serv,Husband,White,Male,>50K
Private,Assoc-voc,Divorced,Exec-managerial,Unmarried,White,Female,<=50K
Private,Some-college,Never-married,Protective-serv,Not-in-family,White,Male,<=50K
Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Own-child,White,Male,<=50K
Private,Some-college,Never-married,Prof-specialty,Own-child,White,Female,<=50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
Private,1st-4th,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,<=50K
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Private,9th,Never-married,Priv-house-serv,Own-child,White,Male,<=50K
Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
Private,1st-4th,Never-married,Machine-op-inspct,Own-child,White,Male,<=50K
Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,<=50K
Self-emp-not-inc,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,<=50K
Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
Private,9th,Never-married,Sales,Own-child,White,Female,<=50K
Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Private,HS-grad,Divorced,Exec-managerial,Unmarried,Black,Female,>50K
Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
?,Some-college,Married-civ-spouse,?,Wife,White,Female,<=50K
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,>50K
Private,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,White,Male,>50K
Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Private,Some-college,Never-married,Adm-clerical,Own-child,Other,Female,<=50K
Private,Assoc-voc,Divorced,Tech-support,Other-relative,White,Female,<=50K
Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,<=50K
Private,HS-grad,Never-married,Other-service,Own-child,White,Female,<=50K
Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Wife,White,Female,<=50K
?,Some-college,Married-civ-spouse,?,Wife,White,Female,<=50K
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Federal-gov,Some-college,Never-married,Adm-clerical,Unmarried,Black,Female,<=50K
Private,Assoc-acdm,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
Private,Some-college,Never-married,Sales,Other-relative,Black,Female,<=50K
Private,Masters,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,>50K
Private,HS-grad,Divorced,Other-service,Not-in-family,White,Female,<=50K
Self-emp-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Local-gov,Assoc-acdm,Widowed,Adm-clerical,Not-in-family,Black,Female,<=50K
Private,Some-college,Divorced,Tech-support,Not-in-family,Amer-Indian-Eskimo,Female,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
Private,Some-college,Never-married,Adm-clerical,Other-relative,White,Female,<=50K
Private,Some-college,Never-married,Prof-specialty,Not-in-family,Black,Male,<=50K
Private,Some-college,Divorced,Sales,Not-in-family,White,Female,<=50K
Private,Assoc-acdm,Never-married,Adm-clerical,Own-child,White,Female,<=50K
Private,Assoc-voc,Never-married,Tech-support,Not-in-family,White,Female,<=50K
Federal-gov,Some-college,Never-married,Tech-support,Own-child,White,Female,<=50K
Private,Bachelors,Married-civ-spouse,Other-service,Wife,White,Female,<=50K
Private,Some-college,Never-married,Exec-managerial,Own-child,White,Female,<=50K
Private,10th,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,<=50K
State-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
?,Some-college,Divorced,?,Own-child,Black,Female,<=50K
Private,7th-8th,Divorced,Other-service,Unmarried,White,Female,<=50K
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,>50K
Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50K
Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,<=50K
Self-emp-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,<=50K
Private,10th,Divorced,Other-service,Not-in-family,White,Female,<=50K
Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,<=50K
Private,Assoc-acdm,Divorced,Prof-specialty,Unmarried,White,Female,<=50K
?,Some-college,Divorced,?,Own-child,White,Male,<=50K
Self-emp-not-inc,Some-college,Never-married,Farming-fishing,Own-child,White,Male,<=50K
Private,Some-college,Never-married,Tech-support,Not-in-family,White,Female,<=50K
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
Private,12th,Never-married,Other-service,Own-child,Black,Male,<=50K
?,10th,Married-civ-spouse,?,Husband,White,Male,<=50K
Private,Some-college,Divorced,Sales,Unmarried,White,Female,<=50K
Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Wife,Black,Female,<=50K
Private,HS-grad,Divorced,Transport-moving,Not-in-family,Black,Male,<=50K
Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Private,Some-college,Separated,Craft-repair,Not-in-family,White,Male,<=50K
Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,<=50K
Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,>50K
Private,Some-college,Never-married,Other-service,Not-in-family,White,Male,<=50K
Private,Some-college,Widowed,Other-service,Unmarried,White,Female,<=50K
Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
Private,Assoc-acdm,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,>50K
Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,>50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,<=50K
Self-emp-not-inc,10th,Divorced,Farming-fishing,Unmarried,White,Male,<=50K
Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,<=50K
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Private,10th,Never-married,Sales,Own-child,White,Female,<=50K
Private,12th,Never-married,Other-service,Own-child,White,Male,<=50K
Private,HS-grad,Widowed,Machine-op-inspct,Not-in-family,White,Female,<=50K
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
?,Masters,Widowed,?,Not-in-family,White,Female,<=50K
Private,Some-college,Never-married,Exec-managerial,Own-child,Black,Female,<=50K
Private,1st-4th,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
Self-emp-not-inc,HS-grad,Divorced,Exec-managerial,Unmarried,White,Male,<=50K
Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
